Team Name,Abbreviation,Color
Arizona Cardinals,ARI,"#97233F"
Atlanta Falcons,ATL,"#A71930"
Baltimore Ravens,BAL,"#241773"
Buffalo Bills,BUF,"#00338D"
Carolina Panthers,CAR,"#0085CA"
Chicago Bears,CHI,"#0B162A"
Cincinnati Bengals,CIN,"#FB4F14"
Cleveland Browns,CLE,"#311D00"
Dallas Cowboys,DAL,"#041E42"
Denver Broncos,DEN,"#FB4F14"
Detroit Lions,DET,"#0076B6"
Green Bay Packers,GB,"#203731"
Houston Texans,HOU,"#A71930"
Indianapolis Colts,IND,"#002C5F"
Jacksonville Jaguars,JAX,"#006778"
Kansas City Chiefs,KC,"#E31837"
Las Vegas Raiders,OAK,"#A5ACAF"
Los Angeles Chargers,LAC,"#0073CF"
Los Angeles Rams,LAR,"#003594"
Miami Dolphins,MIA,"#008E97"
Minnesota Vikings,MIN,"#4F2683"
New England Patriots,NE,"#002244"
New Orleans Saints,NO,"#D3BC8D"
New York Giants,NYG,"#0B2265"
New York Jets,NYJ,"#125740"
Philadelphia Eagles,PHI,"#004C54"
Pittsburgh Steelers,PIT,"#FFB81C"
San Francisco 49ers,SF,"#AA0000"
Seattle Seahawks,SEA,"#002244"
Tampa Bay Buccaneers,TB,"#D50A0A"
Tennessee Titans,TEN,"#0C2340"
Washington Commanders,WSH,"#5A1414"
